combination,activity,a1,a2,a3,a4,a5,a6
5.0,Standing,6860.0,1.0,0.0,30.0,68.0,14.0
5.0,Sitting,61.0,9169.0,155.0,2.0,17.0,0.0
5.0,Pointing,28.0,221.0,4986.0,0.0,0.0,5.0
5.0,Phone,3061.0,0.0,6.0,3067.0,49.0,7.0
5.0,Tablet,259.0,0.0,3.0,986.0,5988.0,26.0
5.0,Paper,678.0,417.0,17.0,196.0,20.0,5741.0
6.0,Standing,7241.0,6.0,1.0,40.0,50.0,12.0
6.0,Sitting,54.0,9161.0,419.0,3.0,9.0,2.0
6.0,Pointing,14.0,102.0,4542.0,0.0,0.0,4.0
6.0,Phone,2242.0,0.0,0.0,3761.0,91.0,22.0
6.0,Tablet,1135.0,2.0,0.0,848.0,5324.0,9.0
6.0,Paper,333.0,2.0,1.0,146.0,260.0,5402.0
7.0,Standing,8042.0,11.0,6.0,134.0,73.0,136.0
7.0,Sitting,46.0,10013.0,619.0,7.0,4.0,4.0
7.0,Pointing,505.0,155.0,4104.0,1.0,0.0,3.0
7.0,Phone,1765.0,0.0,1.0,5172.0,164.0,97.0
7.0,Tablet,835.0,4.0,1.0,375.0,6161.0,314.0
7.0,Paper,95.0,7.0,1.0,86.0,15.0,7764.0
8.0,Standing,7677.0,9.0,7.0,72.0,89.0,93.0
8.0,Sitting,48.0,10088.0,593.0,0.0,6.0,1.0
8.0,Pointing,505.0,191.0,3738.0,0.0,0.0,0.0
8.0,Phone,2597.0,0.0,0.0,4149.0,229.0,60.0
8.0,Tablet,256.0,2.0,0.0,543.0,6640.0,74.0
8.0,Paper,164.0,27.0,1.0,56.0,30.0,7621.0
9.0,Standing,7814.0,13.0,12.0,67.0,89.0,321.0
9.0,Sitting,31.0,10290.0,595.0,1.0,10.0,5.0
9.0,Pointing,510.0,181.0,3588.0,2.0,0.0,4.0
9.0,Phone,3260.0,1.0,0.0,3116.0,374.0,390.0
9.0,Tablet,1517.0,12.0,1.0,674.0,5312.0,325.0
9.0,Paper,144.0,17.0,0.0,22.0,14.0,7852.0
10.0,Standing,6352.0,15.0,6.0,155.0,93.0,195.0
10.0,Sitting,81.0,9343.0,343.0,3.0,6.0,7.0
10.0,Pointing,515.0,146.0,4036.0,0.0,0.0,7.0
10.0,Phone,1106.0,0.0,0.0,4717.0,141.0,214.0
10.0,Tablet,612.0,20.0,2.0,1103.0,3982.0,434.0
10.0,Paper,65.0,9.0,0.0,20.0,10.0,6830.0
11.0,Standing,6881.0,0.0,0.0,104.0,54.0,91.0
11.0,Sitting,44.0,9392.0,173.0,2.0,8.0,1.0
11.0,Pointing,8.0,175.0,4202.0,0.0,0.0,5.0
11.0,Phone,1357.0,0.0,1.0,4959.0,36.0,115.0
11.0,Tablet,132.0,2.0,0.0,1378.0,5410.0,63.0
11.0,Paper,129.0,4.0,0.0,16.0,5.0,7020.0
12.0,Standing,7329.0,8.0,1.0,99.0,31.0,39.0
12.0,Sitting,44.0,9357.0,448.0,3.0,4.0,8.0
12.0,Pointing,4.0,101.0,3702.0,1.0,0.0,4.0
12.0,Phone,1275.0,0.0,0.0,4762.0,115.0,242.0
12.0,Tablet,389.0,3.0,0.0,770.0,5864.0,15.0
12.0,Paper,109.0,5.0,9.0,41.0,15.0,6070.0
13.0,Standing,7901.0,9.0,7.0,54.0,112.0,35.0
13.0,Sitting,53.0,9997.0,566.0,14.0,6.0,1.0
13.0,Pointing,511.0,200.0,4534.0,0.0,0.0,0.0
13.0,Phone,2844.0,2.0,1.0,3941.0,349.0,2.0
13.0,Tablet,146.0,3.0,4.0,452.0,7100.0,20.0
13.0,Paper,376.0,5.0,21.0,417.0,49.0,7195.0
14.0,Standing,8253.0,9.0,2.0,32.0,84.0,107.0
14.0,Sitting,44.0,10167.0,604.0,6.0,11.0,1.0
14.0,Pointing,484.0,188.0,4420.0,0.0,0.0,4.0
14.0,Phone,3166.0,3.0,0.0,3446.0,616.0,14.0
14.0,Tablet,774.0,12.0,3.0,76.0,7165.0,21.0
14.0,Paper,1513.0,23.0,13.0,144.0,35.0,6485.0
15.0,Standing,6560.0,16.0,2.0,106.0,85.0,218.0
15.0,Sitting,37.0,9100.0,533.0,1.0,12.0,1.0
15.0,Pointing,310.0,165.0,5035.0,0.0,0.0,5.0
15.0,Phone,3130.0,1.0,2.0,2835.0,297.0,17.0
15.0,Tablet,2169.0,8.0,1.0,197.0,3962.0,26.0
15.0,Paper,839.0,15.0,4.0,124.0,18.0,6098.0
16.0,Standing,7163.0,1.0,3.0,48.0,64.0,22.0
16.0,Sitting,51.0,9377.0,77.0,2.0,13.0,1.0
16.0,Pointing,16.0,225.0,4957.0,0.0,1.0,2.0
16.0,Phone,1978.0,0.0,3.0,4381.0,202.0,8.0
16.0,Tablet,344.0,2.0,0.0,1102.0,5723.0,24.0
16.0,Paper,308.0,10.0,15.0,54.0,22.0,6929.0
17.0,Standing,7579.0,8.0,2.0,52.0,31.0,6.0
17.0,Sitting,58.0,9289.0,397.0,1.0,8.0,12.0
17.0,Pointing,20.0,85.0,4516.0,0.0,0.0,2.0
17.0,Phone,2051.0,0.0,0.0,4105.0,328.0,14.0
17.0,Tablet,1551.0,2.0,0.0,399.0,5289.0,10.0
17.0,Paper,279.0,7.0,2.0,207.0,34.0,5884.0
18.0,Standing,7874.0,9.0,5.0,34.0,83.0,27.0
18.0,Sitting,98.0,9986.0,772.0,1.0,17.0,2.0
18.0,Pointing,531.0,232.0,3994.0,5.0,0.0,0.0
18.0,Phone,3499.0,1.0,1.0,3149.0,429.0,2.0
18.0,Tablet,233.0,7.0,3.0,504.0,7118.0,11.0
18.0,Paper,489.0,489.0,71.0,150.0,56.0,6889.0
19.0,Standing,6363.0,6.0,4.0,55.0,83.0,21.0
19.0,Sitting,94.0,8936.0,685.0,2.0,8.0,2.0
19.0,Pointing,529.0,133.0,4519.0,0.0,0.0,0.0
19.0,Phone,2254.0,1.0,1.0,3429.0,340.0,93.0
19.0,Tablet,158.0,2.0,5.0,499.0,5504.0,20.0
19.0,Paper,195.0,5.0,16.0,130.0,24.0,6659.0
20.0,Standing,6702.0,2.0,4.0,53.0,60.0,25.0
20.0,Sitting,55.0,9377.0,114.0,0.0,17.0,1.0
20.0,Pointing,20.0,216.0,4630.0,0.0,0.0,1.0
20.0,Phone,2428.0,1.0,5.0,3933.0,38.0,3.0
20.0,Tablet,346.0,2.0,1.0,751.0,5900.0,20.0
20.0,Paper,428.0,514.0,14.0,119.0,12.0,6182.0
21.0,Standing,7152.0,5.0,2.0,25.0,26.0,13.0
21.0,Sitting,58.0,9227.0,518.0,1.0,3.0,1.0
21.0,Pointing,3.0,118.0,4154.0,12.0,2.0,0.0
21.0,Phone,2029.0,0.0,0.0,3903.0,222.0,180.0
21.0,Tablet,670.0,1.0,1.0,694.0,5696.0,14.0
21.0,Paper,289.0,3.0,19.0,210.0,48.0,5775.0
22.0,Standing,6659.0,24.0,6.0,66.0,76.0,70.0
22.0,Sitting,107.0,9074.0,731.0,1.0,5.0,5.0
22.0,Pointing,532.0,100.0,4393.0,0.0,1.0,6.0
22.0,Phone,2661.0,15.0,0.0,3033.0,470.0,45.0
22.0,Tablet,633.0,16.0,0.0,248.0,5576.0,41.0
22.0,Paper,475.0,11.0,26.0,78.0,25.0,6564.0
23.0,Standing,7114.0,1.0,0.0,22.0,49.0,29.0
23.0,Sitting,57.0,9600.0,94.0,0.0,7.0,2.0
23.0,Pointing,15.0,278.0,4421.0,0.0,0.0,4.0
23.0,Phone,1697.0,0.0,1.0,4681.0,132.0,3.0
23.0,Tablet,262.0,0.0,2.0,466.0,6596.0,20.0
23.0,Paper,422.0,137.0,5.0,236.0,163.0,6456.0
24.0,Standing,7517.0,3.0,1.0,38.0,20.0,13.0
24.0,Sitting,63.0,9495.0,435.0,7.0,3.0,1.0
24.0,Pointing,11.0,109.0,4017.0,0.0,0.0,3.0
24.0,Phone,2019.0,0.0,0.0,3961.0,379.0,81.0
24.0,Tablet,1032.0,6.0,0.0,582.0,5775.0,7.0
24.0,Paper,326.0,219.0,0.0,133.0,206.0,5610.0
25.0,Standing,5504.0,6.0,0.0,80.0,74.0,51.0
25.0,Sitting,46.0,8430.0,119.0,1.0,12.0,3.0
25.0,Pointing,18.0,138.0,4976.0,0.0,0.0,5.0
25.0,Phone,1407.0,0.0,2.0,4014.0,111.0,17.0
25.0,Tablet,290.0,2.0,1.0,888.0,4461.0,16.0
25.0,Paper,392.0,0.0,30.0,53.0,8.0,5821.0
26.0,Standing,5954.0,14.0,2.0,74.0,32.0,16.0
26.0,Sitting,56.0,8528.0,262.0,2.0,5.0,2.0
26.0,Pointing,9.0,68.0,4477.0,0.0,0.0,5.0
26.0,Phone,1335.0,1.0,0.0,3801.0,271.0,69.0
26.0,Tablet,1594.0,6.0,0.0,420.0,3682.0,12.0
26.0,Paper,175.0,3.0,0.0,90.0,14.0,5097.0
27.0,Standing,6305.0,3.0,0.0,53.0,15.0,30.0
27.0,Sitting,57.0,8469.0,155.0,0.0,3.0,8.0
27.0,Pointing,4.0,98.0,4139.0,1.0,0.0,3.0
27.0,Phone,1600.0,0.0,0.0,3661.0,65.0,441.0
27.0,Tablet,403.0,1.0,0.0,493.0,5635.0,14.0
27.0,Paper,251.0,62.0,0.0,113.0,159.0,5034.0
28.0,Standing,7985.0,12.0,6.0,188.0,95.0,27.0
28.0,Sitting,68.0,9626.0,771.0,19.0,9.0,3.0
28.0,Pointing,514.0,163.0,4281.0,1.0,0.0,4.0
28.0,Phone,1554.0,0.0,2.0,5226.0,88.0,48.0
28.0,Tablet,594.0,22.0,0.0,1435.0,5655.0,110.0
28.0,Paper,142.0,24.0,2.0,62.0,13.0,7499.0
29.0,Standing,7591.0,8.0,7.0,117.0,105.0,30.0
29.0,Sitting,45.0,9971.0,507.0,3.0,12.0,1.0
29.0,Pointing,524.0,181.0,3923.0,1.0,0.0,0.0
29.0,Phone,2327.0,0.0,4.0,4193.0,114.0,116.0
29.0,Tablet,355.0,12.0,3.0,556.0,6674.0,41.0
29.0,Paper,148.0,25.0,4.0,47.0,22.0,7427.0
30.0,Standing,7884.0,9.0,3.0,193.0,110.0,28.0
30.0,Sitting,36.0,9795.0,891.0,1.0,9.0,3.0
30.0,Pointing,522.0,186.0,3763.0,1.0,5.0,3.0
30.0,Phone,2845.0,0.0,0.0,3878.0,65.0,72.0
30.0,Tablet,490.0,23.0,3.0,1624.0,5645.0,182.0
30.0,Paper,195.0,34.0,0.0,17.0,12.0,7565.0
31.0,Standing,6465.0,8.0,6.0,131.0,88.0,29.0
31.0,Sitting,71.0,9007.0,500.0,0.0,6.0,2.0
31.0,Pointing,534.0,72.0,4285.0,0.0,1.0,7.0
31.0,Phone,1107.0,0.0,0.0,4557.0,106.0,127.0
31.0,Tablet,1280.0,3.0,0.0,636.0,4159.0,201.0
31.0,Paper,91.0,11.0,0.0,12.0,12.0,6582.0
32.0,Standing,6824.0,3.0,0.0,104.0,87.0,23.0
32.0,Sitting,48.0,9124.0,235.0,0.0,15.0,1.0
32.0,Pointing,12.0,173.0,4396.0,0.0,0.0,4.0
32.0,Phone,1767.0,0.0,0.0,4263.0,36.0,121.0
32.0,Tablet,159.0,5.0,2.0,1102.0,5781.0,62.0
32.0,Paper,128.0,9.0,2.0,16.0,8.0,6785.0
33.0,Standing,7190.0,10.0,1.0,142.0,62.0,13.0
33.0,Sitting,37.0,9121.0,497.0,1.0,6.0,5.0
33.0,Pointing,5.0,110.0,3885.0,1.0,2.0,4.0
33.0,Phone,1079.0,0.0,0.0,4535.0,60.0,439.0
33.0,Tablet,387.0,10.0,0.0,874.0,5886.0,10.0
33.0,Paper,132.0,3.0,0.0,63.0,13.0,5812.0
34.0,Standing,7803.0,9.0,8.0,93.0,106.0,10.0
34.0,Sitting,84.0,8853.0,1000.0,7.0,496.0,0.0
34.0,Pointing,503.0,189.0,4734.0,0.0,14.0,0.0
34.0,Phone,1996.0,1.0,1.0,4556.0,298.0,6.0
34.0,Tablet,181.0,3.0,1.0,394.0,7263.0,9.0
34.0,Paper,337.0,6.0,13.0,207.0,36.0,7238.0
35.0,Standing,8062.0,22.0,2.0,149.0,155.0,8.0
35.0,Sitting,47.0,9721.0,814.0,2.0,50.0,2.0
35.0,Pointing,517.0,344.0,4415.0,10.0,3.0,2.0
35.0,Phone,2646.0,0.0,1.0,3986.0,321.0,10.0
35.0,Tablet,504.0,11.0,1.0,1056.0,6586.0,19.0
35.0,Paper,1531.0,27.0,21.0,268.0,43.0,6097.0
36.0,Standing,6613.0,15.0,2.0,115.0,147.0,6.0
36.0,Sitting,50.0,8488.0,937.0,1.0,8.0,3.0
36.0,Pointing,430.0,84.0,5191.0,2.0,0.0,3.0
36.0,Phone,1355.0,4.0,5.0,4395.0,231.0,11.0
36.0,Tablet,620.0,16.0,0.0,1238.0,4596.0,19.0
36.0,Paper,1625.0,10.0,15.0,324.0,15.0,4883.0
37.0,Standing,7013.0,5.0,0.0,77.0,105.0,12.0
37.0,Sitting,50.0,7616.0,342.0,1.0,1310.0,5.0
37.0,Pointing,8.0,260.0,5115.0,1.0,9.0,3.0
37.0,Phone,1926.0,0.0,0.0,4266.0,96.0,3.0
37.0,Tablet,134.0,8.0,0.0,1291.0,5854.0,34.0
37.0,Paper,772.0,31.0,3.0,74.0,20.0,6212.0
38.0,Standing,7450.0,8.0,2.0,89.0,29.0,11.0
38.0,Sitting,66.0,8505.0,660.0,3.0,324.0,10.0
38.0,Pointing,4.0,97.0,4712.0,0.0,1.0,4.0
38.0,Phone,1491.0,0.0,0.0,4562.0,161.0,3.0
38.0,Tablet,729.0,15.0,0.0,305.0,6322.0,6.0
38.0,Paper,323.0,10.0,0.0,207.0,22.0,5625.0
39.0,Standing,7731.0,11.0,1.0,96.0,101.0,3.0
39.0,Sitting,53.0,9664.0,737.0,1.0,223.0,1.0
39.0,Pointing,526.0,268.0,4147.0,0.0,15.0,1.0
39.0,Phone,2857.0,1.0,1.0,3621.0,314.0,6.0
39.0,Tablet,166.0,6.0,2.0,748.0,7071.0,9.0
39.0,Paper,494.0,454.0,21.0,284.0,76.0,6589.0
40.0,Standing,6260.0,12.0,6.0,56.0,97.0,12.0
40.0,Sitting,92.0,8958.0,468.0,0.0,12.0,0.0
40.0,Pointing,515.0,164.0,4695.0,1.0,0.0,1.0
40.0,Phone,1460.0,2.0,2.0,4048.0,299.0,26.0
40.0,Tablet,158.0,4.0,2.0,697.0,5440.0,13.0
40.0,Paper,377.0,3.0,15.0,171.0,22.0,6215.0
41.0,Standing,6576.0,3.0,0.0,68.0,97.0,13.0
41.0,Sitting,53.0,8802.0,126.0,1.0,384.0,1.0
41.0,Pointing,24.0,237.0,4792.0,0.0,9.0,0.0
41.0,Phone,2517.0,0.0,6.0,3507.0,26.0,71.0
41.0,Tablet,119.0,5.0,4.0,737.0,6273.0,8.0
41.0,Paper,632.0,33.0,43.0,658.0,25.0,5652.0
42.0,Standing,7018.0,9.0,3.0,43.0,50.0,11.0
42.0,Sitting,63.0,9032.0,448.0,2.0,65.0,1.0
42.0,Pointing,0.0,145.0,4335.0,0.0,4.0,0.0
42.0,Phone,1546.0,0.0,0.0,4302.0,168.0,37.0
42.0,Tablet,514.0,8.0,3.0,550.0,6119.0,8.0
42.0,Paper,300.0,3.0,2.0,289.0,142.0,5382.0
43.0,Standing,6567.0,16.0,6.0,119.0,91.0,13.0
43.0,Sitting,44.0,9147.0,524.0,2.0,3.0,6.0
43.0,Pointing,521.0,159.0,4543.0,0.0,0.0,4.0
43.0,Phone,1343.0,0.0,4.0,4397.0,146.0,53.0
43.0,Tablet,459.0,27.0,0.0,782.0,5327.0,45.0
43.0,Paper,1452.0,15.0,17.0,236.0,25.0,5208.0
44.0,Standing,6902.0,6.0,0.0,74.0,121.0,23.0
44.0,Sitting,54.0,8996.0,177.0,1.0,334.0,1.0
44.0,Pointing,14.0,312.0,4581.0,0.0,5.0,1.0
44.0,Phone,2683.0,0.0,2.0,3475.0,38.0,35.0
44.0,Tablet,145.0,6.0,0.0,899.0,6404.0,18.0
44.0,Paper,699.0,175.0,17.0,75.0,25.0,6202.0
45.0,Standing,7374.0,6.0,1.0,56.0,59.0,7.0
45.0,Sitting,69.0,9523.0,206.0,4.0,3.0,2.0
45.0,Pointing,10.0,179.0,4139.0,2.0,1.0,4.0
45.0,Phone,1646.0,0.0,1.0,4141.0,132.0,239.0
45.0,Tablet,740.0,10.0,0.0,378.0,6386.0,14.0
45.0,Paper,381.0,2.0,0.0,100.0,236.0,5549.0
46.0,Standing,5446.0,2.0,0.0,82.0,78.0,18.0
46.0,Sitting,51.0,8172.0,178.0,1.0,11.0,1.0
46.0,Pointing,11.0,169.0,5146.0,0.0,0.0,6.0
46.0,Phone,953.0,0.0,2.0,4165.0,29.0,121.0
46.0,Tablet,132.0,7.0,0.0,1058.0,4560.0,27.0
46.0,Paper,650.0,0.0,20.0,76.0,6.0,5326.0
47.0,Standing,5888.0,6.0,2.0,65.0,31.0,11.0
47.0,Sitting,66.0,8341.0,238.0,2.0,4.0,7.0
47.0,Pointing,5.0,60.0,4684.0,1.0,0.0,4.0
47.0,Phone,819.0,0.0,0.0,3823.0,171.0,383.0
47.0,Tablet,678.0,5.0,0.0,732.0,4409.0,16.0
47.0,Paper,180.0,2.0,0.0,114.0,20.0,4837.0
48.0,Standing,6211.0,2.0,0.0,49.0,29.0,26.0
48.0,Sitting,61.0,7777.0,229.0,0.0,427.0,1.0
48.0,Pointing,6.0,97.0,4323.0,0.0,9.0,5.0
48.0,Phone,1473.0,0.0,0.0,3543.0,26.0,444.0
48.0,Tablet,313.0,2.0,0.0,356.0,5990.0,11.0
48.0,Paper,354.0,4.0,1.0,327.0,37.0,4670.0
49.0,Standing,7848.0,13.0,5.0,168.0,101.0,51.0
49.0,Sitting,34.0,10011.0,597.0,6.0,8.0,0.0
49.0,Pointing,497.0,217.0,3849.0,27.0,0.0,0.0
49.0,Phone,1448.0,3.0,1.0,5279.0,362.0,43.0
49.0,Tablet,130.0,12.0,3.0,204.0,7190.0,35.0
49.0,Paper,117.0,15.0,1.0,180.0,32.0,7597.0
50.0,Standing,7784.0,38.0,14.0,346.0,94.0,279.0
50.0,Sitting,27.0,10330.0,468.0,10.0,7.0,10.0
50.0,Pointing,467.0,272.0,3698.0,0.0,1.0,3.0
50.0,Phone,1624.0,0.0,1.0,4851.0,517.0,249.0
50.0,Tablet,544.0,37.0,0.0,364.0,6347.0,608.0
50.0,Paper,119.0,8.0,1.0,168.0,12.0,7784.0
51.0,Standing,6361.0,39.0,2.0,254.0,118.0,281.0
51.0,Sitting,32.0,9176.0,486.0,1.0,4.0,4.0
51.0,Pointing,207.0,134.0,4507.0,5.0,1.0,6.0
51.0,Phone,846.0,2.0,0.0,5042.0,171.0,218.0
51.0,Tablet,297.0,19.0,1.0,1246.0,4520.0,129.0
51.0,Paper,54.0,11.0,0.0,88.0,5.0,6819.0
52.0,Standing,7080.0,7.0,0.0,125.0,81.0,76.0
52.0,Sitting,33.0,9388.0,104.0,0.0,13.0,2.0
52.0,Pointing,7.0,205.0,4330.0,0.0,0.0,4.0
52.0,Phone,956.0,0.0,0.0,5511.0,82.0,20.0
52.0,Tablet,107.0,12.0,0.0,599.0,6274.0,52.0
52.0,Paper,97.0,13.0,7.0,46.0,13.0,7041.0
53.0,Standing,7523.0,12.0,2.0,153.0,39.0,17.0
53.0,Sitting,38.0,9433.0,294.0,5.0,4.0,10.0
53.0,Pointing,8.0,112.0,3843.0,0.0,1.0,4.0
53.0,Phone,843.0,0.0,0.0,5362.0,280.0,10.0
53.0,Tablet,341.0,12.0,1.0,220.0,6516.0,10.0
53.0,Paper,117.0,9.0,0.0,210.0,19.0,5937.0
54.0,Standing,7731.0,15.0,3.0,128.0,120.0,103.0
54.0,Sitting,37.0,10584.0,266.0,0.0,7.0,1.0
54.0,Pointing,520.0,202.0,3379.0,1.0,5.0,0.0
54.0,Phone,2818.0,0.0,0.0,3849.0,284.0,127.0
54.0,Tablet,229.0,16.0,8.0,718.0,6692.0,62.0
54.0,Paper,191.0,59.0,0.0,107.0,16.0,7650.0
55.0,Standing,6306.0,7.0,2.0,109.0,91.0,85.0
55.0,Sitting,61.0,9119.0,560.0,0.0,5.0,1.0
55.0,Pointing,508.0,129.0,3860.0,28.0,0.0,1.0
55.0,Phone,1254.0,1.0,0.0,4445.0,268.0,147.0
55.0,Tablet,234.0,10.0,2.0,500.0,5242.0,49.0
55.0,Paper,66.0,7.0,0.0,29.0,10.0,6796.0
56.0,Standing,6645.0,0.0,1.0,113.0,91.0,64.0
56.0,Sitting,38.0,9368.0,164.0,0.0,13.0,0.0
56.0,Pointing,10.0,223.0,3978.0,0.0,0.0,1.0
56.0,Phone,1499.0,0.0,1.0,4565.0,21.0,319.0
56.0,Tablet,133.0,8.0,4.0,808.0,5868.0,48.0
56.0,Paper,158.0,20.0,4.0,24.0,10.0,6932.0
57.0,Standing,7110.0,5.0,1.0,106.0,42.0,27.0
57.0,Sitting,43.0,9553.0,218.0,2.0,9.0,2.0
57.0,Pointing,0.0,147.0,3486.0,1.0,0.0,0.0
57.0,Phone,1174.0,0.0,0.0,4798.0,140.0,219.0
57.0,Tablet,245.0,8.0,1.0,657.0,6005.0,9.0
57.0,Paper,144.0,6.0,0.0,141.0,24.0,5908.0
58.0,Standing,6410.0,30.0,7.0,167.0,87.0,268.0
58.0,Sitting,35.0,9484.0,407.0,0.0,4.0,12.0
58.0,Pointing,508.0,178.0,3683.0,2.0,0.0,6.0
58.0,Phone,774.0,3.0,0.0,4531.0,431.0,482.0
58.0,Tablet,562.0,20.0,1.0,996.0,4091.0,693.0
58.0,Paper,66.0,9.0,0.0,29.0,10.0,6944.0
59.0,Standing,6971.0,10.0,0.0,135.0,82.0,85.0
59.0,Sitting,36.0,9641.0,92.0,1.0,8.0,1.0
59.0,Pointing,78.0,220.0,3761.0,1.0,0.0,3.0
59.0,Phone,1253.0,0.0,0.0,4955.0,105.0,198.0
59.0,Tablet,243.0,12.0,1.0,1591.0,5273.0,75.0
59.0,Paper,98.0,15.0,0.0,55.0,6.0,7124.0
60.0,Standing,7428.0,20.0,2.0,138.0,34.0,38.0
60.0,Sitting,39.0,9840.0,127.0,11.0,1.0,5.0
60.0,Pointing,7.0,136.0,3337.0,0.0,2.0,3.0
60.0,Phone,1161.0,0.0,0.0,4418.0,529.0,329.0
60.0,Tablet,263.0,15.0,0.0,762.0,6200.0,11.0
60.0,Paper,142.0,4.0,4.0,59.0,20.0,6144.0
61.0,Standing,5405.0,2.0,0.0,133.0,96.0,147.0
61.0,Sitting,39.0,8519.0,64.0,0.0,7.0,1.0
61.0,Pointing,6.0,174.0,4295.0,0.0,0.0,7.0
61.0,Phone,393.0,0.0,0.0,5094.0,34.0,27.0
61.0,Tablet,79.0,10.0,0.0,1480.0,3834.0,104.0
61.0,Paper,44.0,3.0,0.0,0.0,6.0,6130.0
62.0,Standing,5924.0,9.0,1.0,122.0,52.0,52.0
62.0,Sitting,44.0,8497.0,321.0,2.0,5.0,5.0
62.0,Pointing,10.0,74.0,3816.0,0.0,0.0,4.0
62.0,Phone,387.0,0.0,0.0,4788.0,221.0,78.0
62.0,Tablet,264.0,11.0,0.0,511.0,4764.0,13.0
62.0,Paper,46.0,5.0,0.0,23.0,12.0,5172.0
63.0,Standing,6302.0,2.0,0.0,99.0,43.0,28.0
63.0,Sitting,36.0,8581.0,82.0,1.0,11.0,0.0
63.0,Pointing,4.0,127.0,3454.0,1.0,0.0,4.0
63.0,Phone,737.0,0.0,0.0,4465.0,81.0,481.0
63.0,Tablet,136.0,9.0,0.0,546.0,5692.0,12.0
63.0,Paper,123.0,1.0,0.0,14.0,32.0,5328.0
64.0,Standing,8011.0,14.0,4.0,90.0,141.0,11.0
64.0,Sitting,47.0,9889.0,810.0,4.0,44.0,2.0
64.0,Pointing,518.0,213.0,4180.0,0.0,7.0,0.0
64.0,Phone,2145.0,7.0,3.0,4337.0,687.0,3.0
64.0,Tablet,121.0,20.0,3.0,241.0,7535.0,15.0
64.0,Paper,427.0,7.0,1.0,212.0,47.0,7493.0
65.0,Standing,6558.0,21.0,1.0,65.0,107.0,19.0
65.0,Sitting,106.0,9182.0,336.0,7.0,13.0,3.0
65.0,Pointing,509.0,173.0,4653.0,1.0,1.0,0.0
65.0,Phone,1399.0,3.0,3.0,4329.0,479.0,6.0
65.0,Tablet,158.0,6.0,1.0,254.0,5811.0,17.0
65.0,Paper,146.0,8.0,7.0,324.0,31.0,6556.0
66.0,Standing,6885.0,4.0,0.0,79.0,84.0,33.0
66.0,Sitting,51.0,8961.0,131.0,0.0,340.0,1.0
66.0,Pointing,4.0,226.0,4781.0,0.0,12.0,0.0
66.0,Phone,1597.0,0.0,1.0,4767.0,142.0,2.0
66.0,Tablet,148.0,1.0,0.0,271.0,6647.0,12.0
66.0,Paper,243.0,46.0,6.0,79.0,14.0,6924.0
67.0,Standing,7361.0,13.0,2.0,48.0,35.0,3.0
67.0,Sitting,88.0,9269.0,362.0,1.0,8.0,0.0
67.0,Pointing,6.0,134.0,4301.0,1.0,2.0,1.0
67.0,Phone,1483.0,0.0,0.0,4719.0,233.0,0.0
67.0,Tablet,239.0,15.0,1.0,413.0,6457.0,10.0
67.0,Paper,248.0,8.0,2.0,268.0,69.0,5792.0
68.0,Standing,6537.0,35.0,6.0,343.0,131.0,88.0
68.0,Sitting,41.0,9347.0,445.0,0.0,5.0,5.0
68.0,Pointing,504.0,167.0,4512.0,1.0,0.0,4.0
68.0,Phone,1153.0,4.0,0.0,4459.0,684.0,25.0
68.0,Tablet,238.0,33.0,2.0,374.0,5897.0,29.0
